T_600,T_800,T_1000,T_1200,T_1400,T_1600,T_1800,Beta_0.15,Beta_0.17,Beta_0.19,Beta_0.21,Beta_0.23,Beta_0.25,Beta_0.27,Beta_0.29
2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824,2.999914824
3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326,3.90738326
5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041,5.113184041
6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863,6.660127863
5.339800584,5.339800584,5.339800584,5.339800584,5.339800584,5.339800584,5.339800584,3.20388035,3.631064397,4.058248444,4.485432491,4.912616537,5.339800584,5.766984631,6.194168678
6.087210547,6.087210547,6.087210547,6.087210547,6.087210547,6.087210547,6.087210547,3.332000293,3.848874677,4.382832972,4.933875101,5.502000986,6.087210547,6.689503708,7.308880389
6.954211256,6.954211256,6.954211256,6.954211256,6.954211256,6.954211256,6.954211256,3.47304095,4.088851076,4.743847592,5.439056094,6.175502142,6.954211256,7.776208916,8.642520562
7.955618153,7.955618153,7.955618153,7.955618153,7.955618153,7.955618153,7.955618153,3.625054463,4.349780545,5.141669411,6.004210495,6.940975453,7.955618153,9.051874662,10.23356323
9.198955139,9.198955139,9.198955139,9.198955139,9.198955139,9.198955139,9.198955139,3.828228977,4.680766261,5.635983496,6.701817097,7.886577051,9.198955139,10.64803316,12.24329115
10.24001058,10.24001058,10.24001058,10.24001058,10.24001058,10.24001058,10.24001058,3.874261428,4.831642734,5.931603291,7.188914549,8.619405515,10.24001058,12.06881839,14.12512169
11.8775086,11.8775086,11.8775086,11.8775086,11.8775086,11.8775086,11.8775086,4.104841468,5.21617618,6.52275479,8.049718627,9.824604835,11.8775086,14.24125234,16.951562
13.44697591,13.44697591,13.44697591,13.44697591,13.44697591,13.44697591,13.44697591,4.230860105,5.481914059,6.987242695,8.786244952,10.92305497,13.44697591,16.41294227,19.88201196
15.21920666,15.01012607,14.80104548,14.59196489,14.38288429,14.1738037,13.96472311,4.357583638,5.757409427,7.480467892,9.585407834,12.13941563,15.21920666,18.91210531,23.31721884
17.23242966,16.7636668,16.30077714,15.84378345,15.39270864,14.9475757,14.50840778,4.488377224,6.047442569,8.009932265,10.45988518,13.49575169,17.23242966,21.8035314,27.36390023
19.52128725,18.73271583,17.96362879,17.21391243,16.48344757,15.77210955,15.07976816,4.623387522,6.352848163,8.578493106,11.41723655,15.00914132,19.52128725,25.15217392,32.13671168
22.12584461,20.94611022,19.80947918,18.7153038,17.66291331,16.6516146,15.68069296,4.762767387,6.674515232,9.189258777,12.46585825,16.69894403,22.12584461,29.03464602,37.77352
