T_600,T_1500,T_2400,Beta_0.15,Beta_0.17,Beta_0.19
2.849919083,2.849919083,2.849919083,2.849919083,2.849919083,2.849919083
3.651164481,3.651164481,3.651164481,3.651164481,3.651164481,3.651164481
4.701095009,4.701095009,4.701095009,4.701095009,4.701095009,4.701095009
6.022983334,6.022983334,6.022983334,6.022983334,6.022983334,6.022983334
5.194150624,5.194150624,5.194150624,3.396175408,4.594825552,5.793475696
5.96246651,5.96246651,5.96246651,3.592936232,5.136670784,6.824214227
6.85992762,6.85992762,6.85992762,3.810031632,5.755573295,8.056320904
7.903884149,7.903884149,7.903884149,4.046110784,6.458373562,9.524640128
9.208987903,9.208987903,9.208987903,4.349138998,7.330532971,11.38387725
10.31210342,10.31210342,10.31210342,4.473868097,7.985830454,13.09380329
12.05441836,12.05441836,12.05441836,4.825379186,9.094409637,15.70089435
13.73958918,13.73958918,13.73958918,5.058830455,10.08817005,18.37598865
15.65593195,14.64688947,13.63784698,5.299854285,11.18559059,21.50464617
17.84832043,15.6239505,13.53487302,5.552982946,12.40659276,25.18286034
20.35885442,16.67736982,13.43068535,5.818881861,13.76597513,29.51257282
23.23663704,17.81452251,13.32530316,6.098258234,15.28048475,34.61622063
26.53906757,19.04367207,13.21874674,6.39186412,16.96910586,40.64124431
30.33339442,20.37409965,13.11103752,6.700499767,18.85339641,47.76564725
34.69858146,21.81625508,13.00219803,7.025017234,20.95788064,56.20484401
39.72755145,23.38193381,12.89225193,7.366324337,23.3105078,66.22007947
45.52988104,25.08448467,12.781224,7.725388933,25.94318837,78.12874697
52.23503447,26.93905449,12.66914012,8.103243591,28.8924214,92.31698158
59.99623635,28.96287676,12.55602725,8.500990677,32.20002856,109.2549519
68.99509777,31.17561311,12.44191346,8.919807909,35.91401308,129.5153181
79.44712392,33.59975823,12.32682788,9.360954407,40.08956419,153.7953638
91.60824522,36.26112096,12.21080068,9.825777314,44.79023099,182.9433423
105.7825265,39.18939736,12.0938631,10.31571902,50.08929228,217.9896015
122.33122,42.41885432,11.97604736,10.8323251,56.07135266,260.1830552
141.6833356,45.98914688,11.8573867,11.37725292,62.83419797,311.0335423
164.3479108,49.94629669,11.73791531,11.95228119,70.49094693,372.360522
190.9281595,54.34386498,11.61766833,12.55932033,79.17253844,446.3483444
222.1376799,59.24436035,11.49668179,13.20042388,89.03059708,535.6079373
258.8188816,64.72092917,11.37499261,13.87780105,100.2407216,643.2440426
301.9637631,70.85938621,11.25263857,14.59383047,113.0062427,772.9259801
352.7371046,77.76065312,11.12965821,15.35107534,127.5624982,928.9581204
412.5020371,85.54368491,11.00609089,16.15230005,144.181672,1116.343581
482.8477665,94.34897701,10.88197664,17.0004885,163.1782443,1340.830841
565.6189544,104.3427603,10.75735622,17.89886428,184.9150955,1608.927741
662.9458417,115.7220053,10.632271,18.85091291,209.8103015,1927.860433
777.2735969,128.720372,10.50676294,19.86040629,238.34465,2305.446252
911.388533,143.6152544,10.38087456,20.93142976,271.0698895,2749.839647
1068.437697,160.7360798,10.25464886,22.06841185,308.6177032,3269.100354
1251.936839,180.4740335,10.12812927,23.27615722,351.7093624,3870.525746
1465.759885,203.2933774,10.00135964,24.55988289,401.1659629,4559.689355
1714.100695,229.7445341,9.874384106,25.92525839,457.9190748,5339.142582
2001.395277,260.4790907,9.74724712,27.37844995,523.0215328,6206.776642
2332.189795,296.2668582,9.619993339,28.9261694,597.6579537,7153.918475
2710.937176,338.0150795,9.492667583,30.57572813,683.1543819,8163.355602
3141.703638,386.7898215,9.365314782,32.3350967,780.9862245,9207.647047
3627.767097,443.839486,9.237979909,34.21297061,892.7833289,10248.25217
4171.094014,510.6202264,9.110707929,36.21884292,1020.330679,11236.13177
4771.69186,588.8228301,8.983543734,38.36308442,1165.562735,12114.4453
5426.853477,680.4002854,8.856532086,40.65703194,1330.548905,12823.67466
6130.339127,787.5947604,8.729717558,43.1130858,1517.467064,13308.89786
6871.582033,912.9620306,8.603144475,45.74481704,1728.561424,13528.11121
7635.050487,1059.39044,8.476856858,48.56708552,1966.080487,13459.74904
8399.944957,1230.110227,8.350898362,51.59616969,2232.190446,13107.29202
9140.435996,1428.687453,8.225312222,54.84990915,2528.859251,12499.39831
9826.636217,1658.994778,8.100141196,58.347861,2857.707076,11685.27505
10426.42471,1925.149079,7.975427513,62.11147112,3219.820198,10726.51932
10908.09369,2231.403412,7.851212815,66.16426148,3615.52779,9687.692397
11243.57771,2581.978519,7.727538106,70.53203465,4044.145243,8627.992437
11411.80429,2980.817441,7.604443706,75.2430967,4503.693505,7595.629735
11401.54839,3431.246831,7.481969194,80.32849963,4990.611858,6625.377786
11213.16534,3935.531483,7.360153369,85.82230445,5499.491018,5738.81895
10858.76031,4494.316325,7.239034197,91.76186611,6022.863638,4946.321848
10360.69674,5105.964513,7.118648775,98.18814116,6551.098295,4249.765111
9748.743489,5765.823375,6.999033285,105.1460192,7072.448221,3645.270605
9056.469823,6465.482301,6.880222957,112.6846789,7573.303867,3125.528258
8317.612536,7192.126654,6.762252032,120.8579693,8038.68559,2681.558968
7563.039563,7928.133317,6.64515373,129.7248163,8452.986969,2303.929714
6818.686328,8651.084863,6.528960212,139.349656,8800.941072,1983.515373
6104.553875,9334.383253,6.413702562,149.8028921,9068.736008,1711.923311
5434.627892,9948.60055,6.299410747,161.1613803,9245.161388,1481.687055
4817.452294,10463.59889,6.186113604,173.5089351,9322.63626,1286.313391
4257.067499,10851.2866,6.073838814,186.9368601,9297.96371,1120.243938
3754.068688,11088.68069,5.962612881,201.5444979,9172.684919,978.77239
